Timeslot use: 4

Timeslot 1:
C60 T5 R1
C6 T29 R8
C21 T1 R13
C69 T15 R12
C37 T13 R26
C51 T9 R19
C33 T21 R10
C90 T25 R9
C48 T7 R20
C30 T28 R5
C27 T22 R3
C10 T14 R6
C83 T2 R18
C3 T30 R24
C17 T12 R21
C1 T26 R28
C59 T6 R29
C45 T17 R4
C9 T4 R2
C85 T3 R17
C36 T23 R14
C87 T18 R22
C82 T24 R23
C63 T10 R15
C52 T8 R25
C77 T27 R7
C4 T20 R11
C16 T19 R16
C72 T16 R27

Timeslot 2:
C74 T14 R22
C13 T15 R8
C49 T7 R24
C47 T8 R28
C79 T21 R9
C44 T6 R15
C2 T4 R10
C66 T2 R27
C57 T13 R11
C76 T16 R12
C24 T12 R23
C50 T5 R20
C62 T24 R18
C11 T29 R14
C91 T25 R7
C38 T1 R4
C18 T19 R21
C19 T22 R5
C25 T28 R16
C54 T18 R1
C80 T27 R13
C34 T23 R3
C81 T26 R6
C73 T3 R29
C70 T11 R26
C86 T20 R17
C35 T9 R2
C39 T10 R19

Timeslot 3:
C55 T29 R23
C67 T24 R4
C22 T1 R28
C23 T22 R20
C8 T6 R1
C53 T8 R18
C88 T28 R5
C56 T5 R15
C31 T27 R14
C71 T15 R26
C75 T2 R9
C20 T13 R21
C61 T3 R11
C43 T10 R16
C32 T14 R10
C28 T9 R29
C68 T21 R12
C14 T11 R19
C78 T20 R22
C92 T25 R7
C26 T16 R13
C7 T17 R2
C40 T19 R6
C5 T4 R3
C42 T7 R25
C29 T23 R8

Timeslot 4:
C64 T18 R24
C46 T23 R27
C15 T12 R2
C41 T17 R25
C58 T11 R8
C84 T26 R17
C65 T1 R11
C89 T3 R22
C12 T13 R19


Executed time: 0.034193992614746094
